20	2.93
21	2.84
22	2.91
23	2.51
24	2.40
25	2.46
26	2.54
27	2.36
28	2.40
29	2.40
30	2.34
31	2.18
32	2.57
33	2.70
34	2.77
35	2.71
36	2.67
37	2.71
38	2.77
39	2.67
40	2.51
41	2.52
42	2.40
43	2.37
44	2.33
45	2.28
46	2.10
47	2.01
48	2.11
49	2.22
50	2.19
51	2.03
52	1.99
53	2.12
54	2.11
55	2.11
56	2.15
57	2.15
58	2.03
59	2.08
60	2.05
61	2.02
62	2.00
63	1.91
64	1.89
65	1.92
66	1.93
67	1.93
68	1.91
69	1.86
70	1.81
71	1.74
72	1.68
73	1.72
74	2.10
75	2.07
76	2.09
77	2.13
78	2.01
79	2.42
80	2.96
81	2.96
82	2.63
83	2.43
84	2.27
85	2.18
86	1.66
87	1.63
88	1.57
89	1.61
90	1.73
91	1.63
92	1.57
93	1.50
94	1.46
95	1.47
96	1.53
97	1.50
98	1.27
99	1.37
100	1.71
101	1.61
102	1.48
103	1.69
104	1.94
105	2.30
106	2.51
107	2.64
108	3.73
