0	0.26
1	0.25
2	0.26
3	0.23
4	0.21
5	0.22
6	0.23
7	0.21
8	0.21
9	0.21
10	0.21
11	0.2
12	0.23
13	0.24
14	0.25
15	0.24
16	0.24
17	0.24
18	0.25
19	0.24
20	0.23
21	0.23
22	0.21
23	0.21
24	0.21
25	0.2
26	0.19
27	0.18
28	0.19
29	0.2
30	0.2
31	0.18
32	0.18
33	0.19
34	0.19
35	0.19
36	0.19
37	0.19
38	0.18
39	0.19
40	0.18
41	0.18
42	0.18
43	0.17
44	0.17
45	0.17
46	0.17
47	0.17
48	0.17
49	0.17
50	0.16
51	0.16
52	0.15
53	0.15
54	0.19
55	0.19
56	0.19
57	0.19
58	0.18
59	0.22
60	0.27
61	0.27
62	0.24
63	0.22
64	0.2
65	0.2
66	0.15
67	0.15
68	0.14
69	0.14
70	0.16
71	0.15
72	0.14
73	0.13
74	0.13
75	0.13
76	0.14
77	0.13
78	0.11
79	0.12
80	0.15
81	0.14
82	0.13
83	0.15
84	0.17
85	0.21
86	0.22
87	0.24
88	0.33
